segment,z_lo,z_hi,scheme5_rms_percent,scheme6_rms_percent,candidate_rms_percent,candidate_better_than_both
23,0.17404257,0.21083225,17.02406910703286,10.41108561208164,2.40721837290129,True
9,0.77881201,0.83176003,3.7705395775665638,13.159302670509627,1.9304047233531172,True
3,1.3991603,1.55438291,2.414296294683636,4.247785443532204,1.688774318383916,True
0,1.90743426,2.0,3.2030462738832095,2.8392520734131015,1.7275486257077581,True
